np00130007|5th freedom|Buffalo NY
np00010016|The A.T. Eye|Canton NY
np00010007|The A.T. See|Canton NY
sn86033360|Adirondack daily enterprise|Saranac Lake NY
sn93063680|The Adirondack mountain sun|Lowville NY
sn87070345|The Adirondack news|St. Regis Falls NY
sn87070340|The Adirondack record-Elizabethtown post|Au Sable Forks NY
sn84031732|The Adirondack record|Au Sable Forks NY
sn90066433|Advance news|Ogdensburg NY
sn89071106|The Advance-news|Ogdensburg NY
sn85026929|The advance|Ogdensburgh NY
sn84031374|The advertiser-journal|Auburn NY
sn89071003|The advertiser|Dansville NY
np00010008|The Aggie Observer|Canton NY
np00010009|The Aggie Spirit|Canton NY
sn86053053|Albany Argus and daily city gazette, extra|Albany NY 
sn83030863|The Albany centinel|Albany NY 
sn83030801|The Albany register|Albany NY
sn92061686|Allegany County news|Whitesville NY
2006245259|The Altamont enterprise and Albany County post|Altamont NY
sn84031267|Altamont enterprise and Albany County post|Altamont NY
sn84031266|Altamont enterprise|Altamont NY
sn86011850|The Altamont enterprise|Altamont NY
sn84031542|The Amateur courier|Cuba NY
sn84031127|American journal|Ithaca NY
sn92062028|American union|Ellicottville NY
sn83031369|Anti-Masonic telegraph|Norwich NY
sn83008298|Arcade herald|Arcade NY
sn88074478|Arcade herald|Arcade NY
sn88074454|The Arcadian weekly gazette|Newark NY
np00130001|Argus|Buffalo NY
sn83045592|The Argus|Albany NY
np00250001|The Ascent|Amherst NY
sn83030864|Auburn daily advertiser|Auburn NY
sn88074197|Auburn free press|Auburn NY
sn87070067|Auburn journal and advertiser|Auburn NY
sn86063481|Auburn morning dispatch|Auburn NY
sn90066102|Auburn weekly American|Auburn NY
sn90066023|Auburn weekly dispatch|Auburn NY
sn84031106|The Aurora gazette|Aurora NY
sn84031344|The Babylon beacon|Babylon NY
sn84031018|The Baldwinsville gazette and farmers journal|Baldwinsville NY
sn83030758|The Baldwinsville gazette|Baldwinsville NY
sn85009771|Banner times|Pulaski NY
sn84031187|Batavia daily news|Batavia NY
np00070001|Bayport-Blue Point Gazette|Bayport NY
sn84031349|The beacon|Babylon NY
np00130002|The bee|Buffalo NY
sn94057804|The Bee|Heuvelton NY
sn90066174|Bellmore life|Bellmore NY
sn94057939|The Bethpage tribune|Bethpage NY
sn90066556|Binghamton courier|Binghamton NY
sn89071389|Black River Democrat|Lowville NY
sn85054393|Black River gazette|Lowville NY
sn83030931|Bloomville mirror|Bloomville NY
np00320002|The blue banner|Syracuse NY
sn84031157|Bolivar breeze|Bolivar NY
sn84031640|The Brewster standard|Brewster NY
sn88074530|The Broadalbin herald|Broadalbin NY
sn88074072|Brockport republic and Brockport Democrat|Brockport NY
sn86053142|The Brockport republic|Brockport NY
sn91066993|The Brookfield courier and the reporter|Brookfield NY
sn91066994|The Brookfield courier|Brookfield NY
sn83031149|The Brooklyn Daily Eagle and Kings County Democrat|Brooklyn NY
sn83031151|The Brooklyn Daily Eagle|Brooklyn NY
sn83031041|Broome Republican|Binghamton NY
sn91066599|The Buffalo Criterion|Buffalo NY
sn95071129|The Buffalo Criterion|Buffalo NY
sn85038653|Buffalo daily republic and times|Buffalo NY 
sn83030935|Buffalo daily republic|Buffalo NY
sn83045870|Buffalo evening news|Buffalo NY
sn83030927|Buffalo evening post|Buffalo NY
sn83030921|The Buffalo express|Buffalo NY
sn2004060311|Buffalo Irish Times|Buffalo NY
sn85054106|Buffalo morning express and daily democracy|Buffalo NY
sn83030920|Buffalo morning express|Buffalo NY
sn85042194|Buffalo morning express|Buffalo NY
sn85042195|Buffalo morning express|Buffalo NY
sn94057655|The Buffalo news|Buffalo NY
sn90066293|Callicoon local record|Youngsville NY
sn84035854|The Candor courier|Candor NY
np00030004|The Canisian|Buffalo NY
np00010013|The Cannon|Watertown NY
np00010014|The Cannoneer|Watertown NY
sn83031538|Cape Vincent eagle|Cape Vincent NY
sn94057709|Cape Vincent eagle|Cape Vincent NY
sn94057706|The Cape-Vincent gazette|Cape Vincent NY
sn92062062|Capital herald|Little Valley NY
